linhas; 22.0
site; pdg
ciclo; diario
tensao; BTE
potencia_contratada_kW; 173
potencia_contratada_valor; 1.209
potencia_horas_ponta; 20.307
ponta; 0.0633
cheia; 0.0605
vazio; 0.0438
supervazio; 0.0422
ponta_redes_verao; 0
ponta_redes_inverno; 0
cheia_redes_verao; 0
cheia_redes_inverno; 0
vazio_redes_verao; 0
vazio_redes_inverno; 0
supervazio_redes_verao; 0
supervazio_redes_inverno; 0
reativa_redes_fornecida; 0
reativa_redes_recebida; 0
