linhas; 22.0
site; fnc
ciclo; diario
tensao; BTE
potencia_contratada_kW; 96
potencia_contratada_valor; 1.187
potencia_horas_ponta; 20.457
ponta; 0.1437
cheia; 0.1229
vazio; 0.0807
supervazio; 0.0807
ponta_redes_verao; 0
ponta_redes_inverno; 0
cheia_redes_verao; 0
cheia_redes_inverno; 0
vazio_redes_verao; 0
vazio_redes_inverno; 0
supervazio_redes_verao; 0
supervazio_redes_inverno; 0
reativa_redes_fornecida; 0
reativa_redes_recebida; 0
