Mes;Potencia Contratada (kW);Potencia Horas Ponta (kW);Consumo Ponta (kWh);Consumo Cheias (kWh);Consumo Vazio (kWh);Consumo Super-Vazio (kWh);Custo Potencia Contratada (eur);Custo Potencia Horas Ponta (eur);Custo Ponta (eur);Custo Cheia (eur);Custo Vazio (eur);Custo Super-Vazio (eur);Total Termo Ponta (eur);Custo Total (eur)
1;422,0;286,63;30095,95;82835,84;66041,01;34066,77;448,59;1871,98;3193,04;7952,32;4134,15;2088,24;5065,02;19688,32
2;422,0;289,54;30401,37;81644,68;56030,03;31813,56;448,59;1890,99;3225,6;7838,0;3507,55;1950,17;5116,59;18860,9
3;422,0;289,01;30923,65;90537,9;58029,08;34576,41;448,59;1887,52;3279,93;8686,89;3631,89;2120,11;5167,45;20054,93
4;422,0;314,17;19792,7;103607,09;64665,52;35011,65;448,59;2051,84;2094,05;9915,3;4041,77;2149,74;4145,89;20701,29
5;422,0;348,15;22977,97;116872,24;72939,62;39107,96;448,59;2273,77;2431,03;11184,68;4558,91;2401,3;4704,8;23298,28
6;422,0;342,23;22587,32;114851,12;68691,36;38792,81;448,59;2235,1;2389,75;10991,25;4293,47;2381,84;4624,85;22740,0
7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total;2532,0;1869,73;156778,96;590348,87;386396,62;213369,16;2691,54;12211,2;16613,4;56568,44;24167,74;13091,4;28824,6;125343,72
