Mes;CONSUMO_TOTAL BVTP1;AVAC BVTP1;IT BVTP1
Jan;115521.63;35917.7;69313.74
Fev;103617.62;32439.1;61565.06
Mar;113303.91;36349.4;66733.07
Abr;112410.24;36406.3;65296.43
Mai;116065.62;37230.6;66833.77
Jun;113396.57;37048.52;64558.15
Jul;0.0;0.0;0.0
Ago;0.0;0.0;0.0
Set;0.0;0.0;0.0
Out;0.0;0.0;0.0
Nov;0.0;0.0;0.0
Dez;0.0;0.0;0.0
