Mes;Custo Mensal;Consumo Horas Ponta;Potencia Horas Ponta
1;15100.75;23809.0;192.01
2;13918.64;21814.0;188.05
3;15129.98;24121.0;194.52
4;15855.54;26047.0;217.06
5;17572.01;29141.0;235.01
6;18497.7;29847.0;248.73
7;19892.95;31669.98;255.4
8;20531.75;32568.0;262.65
9;19363.88;30991.01;258.26
10;0.0;0.0;0.0
11;0.0;0.0;0.0
12;0.0;0.0;0.0
