Mes;Custo Mensal;Consumo Horas Ponta;Potencia Horas Ponta
1;21434.71;35091.99;334.21
2;20325.7;35257.0;335.78
3;22268.81;36707.0;343.06
4;21429.53;21953.0;348.46
5;21973.58;22931.0;347.44
6;21334.06;22926.0;347.36
7;22082.23;21979.0;348.87
8;21747.96;23474.0;340.2
9;20049.21;21361.0;323.65
10;0.0;0.0;0.0
11;0.0;0.0;0.0
12;0.0;0.0;0.0
