Mes;Custo Mensal;Consumo Horas Ponta;Potencia Horas Ponta
1;5885.78;9534.01;90.8
2;5133.58;8952.63;85.26
3;6178.57;10175.61;95.1
4;5968.57;6331.0;100.49
5;5602.83;6005.0;90.98
6;5466.97;6004.0;90.97
7;5738.47;5935.87;94.22
8;5821.29;6489.0;94.04
9;5520.21;6009.0;91.05
10;0.0;0.0;0.0
11;0.0;0.0;0.0
12;0.0;0.0;0.0
