Mes;Custo Mensal;Consumo Horas Ponta;Potencia Horas Ponta
1;1955.8;3039.0;24.51
2;1843.87;2872.0;24.76
3;2022.86;3148.65;25.39
4;1956.55;3080.0;25.67
5;2056.7;3235.0;26.09
6;2028.8;3195.0;26.63
7;2157.23;3439.9;27.74
8;1876.55;2944.4;23.75
9;3368.29;5154.83;42.96
10;0.0;0.0;0.0
11;0.0;0.0;0.0
12;0.0;0.0;0.0
