Mes;Custo Mensal;Consumo Horas Ponta;Potencia Horas Ponta
1;2671.69;4055.45;32.71
2;2483.55;3785.0;32.63
3;2666.67;4060.97;32.75
4;2607.72;4008.81;33.41
5;2686.12;4138.49;33.37
6;2673.95;4140.03;34.5
7;2806.66;4348.89;35.07
8;2836.97;4386.4;35.37
9;2744.74;4252.98;35.44
10;0.0;0.0;0.0
11;0.0;0.0;0.0
12;0.0;0.0;0.0
