Mes;Custo Mensal;Consumo Horas Ponta;Potencia Horas Ponta
1;3682.18;6107.0;58.16
2;3536.52;6204.5;59.09
3;3813.78;6485.0;60.61
4;3689.59;3899.92;61.9
5;3820.96;4082.08;61.85
6;3652.06;4099.3;62.11
7;3941.96;4152.0;65.9
8;4013.2;4536.3;65.74
9;3867.49;4356.6;66.01
10;0.0;0.0;0.0
11;0.0;0.0;0.0
12;0.0;0.0;0.0
