Mes;Custo Mensal;Consumo Horas Ponta;Potencia Horas Ponta
1;1592.46;2565.01;20.69
2;1539.84;2479.0;21.37
3;1680.18;2735.7;22.06
4;1766.05;2791.21;23.26
5;1903.08;3012.78;24.3
6;2016.63;3173.19;26.44
7;2355.03;3733.8;30.11
8;2465.13;3850.99;31.06
9;2281.76;3600.0;30.0
10;0.0;0.0;0.0
11;0.0;0.0;0.0
12;0.0;0.0;0.0
