weekday;day;month;year;time;CONSUMO_TOTAL BVTP1;AVAC BVTP1;IT BVTP1
Mon;1;1;2018;00:00;39.64;12.3;24.69
Mon;1;1;2018;00:15;35.76;11.6;21.6
Mon;1;1;2018;00:30;36.82;11.5;23.09
Mon;1;1;2018;00:45;39.199999999999996;13.4;23.05
Mon;1;1;2018;01:00;36.82;11.2;23.09
Mon;1;1;2018;01:15;36.64;11.4;23.05
Mon;1;1;2018;01:30;36.699999999999996;11.0;23.05
Mon;1;1;2018;01:45;39.25;13.6;23.03
Mon;1;1;2018;02:00;36.14;10.6;23.05
Mon;1;1;2018;02:15;37.27;11.7;23.0
Mon;1;1;2018;02:30;37.5;12.0;23.0
Mon;1;1;2018;02:45;37.74;12.3;22.95
Mon;1;1;2018;03:00;36.68;11.5;22.96
Mon;1;1;2018;03:15;37.81;12.1;22.97
Mon;1;1;2018;03:30;37.48;12.0;23.02
Mon;1;1;2018;03:45;37.209999999999994;11.8;22.99
Mon;1;1;2018;04:00;37.339999999999996;11.9;23.02
Mon;1;1;2018;04:15;36.0;10.6;22.96
Mon;1;1;2018;04:30;38.06;12.4;22.98
Mon;1;1;2018;04:45;38.21;13.3;22.91
Mon;1;1;2018;05:00;36.27;10.5;22.94
Mon;1;1;2018;05:15;36.96;11.6;22.94
Mon;1;1;2018;05:30;37.8;12.5;22.93
Mon;1;1;2018;05:45;37.46;12.2;22.87
Mon;1;1;2018;06:00;36.910000000000004;11.4;22.86
Mon;1;1;2018;06:15;36.75;11.3;22.88
Mon;1;1;2018;06:30;36.96;11.8;22.83
Mon;1;1;2018;06:45;37.58;12.4;22.84
Mon;1;1;2018;07:00;36.97;11.6;22.87
Mon;1;1;2018;07:15;36.11;10.9;22.83
Mon;1;1;2018;07:30;39.1;13.5;22.84
Mon;1;1;2018;07:45;36.19;11.2;22.83
Mon;1;1;2018;08:00;37.66;11.1;22.84
Mon;1;1;2018;08:15;38.18;12.2;22.84
Mon;1;1;2018;08:30;37.41;11.2;22.84
Mon;1;1;2018;08:45;38.93;13.0;22.84
Mon;1;1;2018;09:00;38.41;11.5;22.88
Mon;1;1;2018;09:15;37.48;11.0;22.86
Mon;1;1;2018;09:30;37.77;11.5;22.87
Mon;1;1;2018;09:45;39.88;13.5;22.88
Mon;1;1;2018;10:00;37.59;11.1;22.89
Mon;1;1;2018;10:15;37.93;11.1;22.94
Mon;1;1;2018;10:30;38.61;12.0;22.95
Mon;1;1;2018;10:45;38.07;11.2;22.98
Mon;1;1;2018;11:00;40.38;13.1;22.93
Mon;1;1;2018;11:15;38.080000000000005;11.7;22.95
Mon;1;1;2018;11:30;37.4;11.1;22.95
Mon;1;1;2018;11:45;38.15;11.3;22.99
Mon;1;1;2018;12:00;38.87;12.4;23.0
Mon;1;1;2018;12:15;39.35;13.0;23.0
Mon;1;1;2018;12:30;37.5;11.0;23.01
Mon;1;1;2018;12:45;38.59;12.0;23.0
Mon;1;1;2018;13:00;37.62;11.3;23.02
Mon;1;1;2018;13:15;38.1;11.4;23.0
Mon;1;1;2018;13:30;39.97;13.0;23.0
Mon;1;1;2018;13:45;37.82;11.2;23.0
Mon;1;1;2018;14:00;38.54;11.5;23.0
Mon;1;1;2018;14:15;38.71;11.9;23.03
Mon;1;1;2018;14:30;39.4;12.9;23.0
Mon;1;1;2018;14:45;37.24;11.3;23.04
Mon;1;1;2018;15:00;38.580000000000005;11.8;23.05
Mon;1;1;2018;15:15;37.54;11.2;23.03
Mon;1;1;2018;15:30;38.08;11.5;23.04
Mon;1;1;2018;15:45;40.11;13.3;23.03
Mon;1;1;2018;16:00;37.559999999999995;11.3;23.04
Mon;1;1;2018;16:15;37.54;11.0;23.04
Mon;1;1;2018;16:30;38.339999999999996;12.0;23.07
Mon;1;1;2018;16:45;40.02;13.3;23.03
Mon;1;1;2018;17:00;37.57;10.9;23.04
Mon;1;1;2018;17:15;38.14;11.7;23.05
Mon;1;1;2018;17:30;37.99;11.5;23.1
Mon;1;1;2018;17:45;37.879999999999995;11.3;23.04
Mon;1;1;2018;18:00;39.5;13.5;23.08
Mon;1;1;2018;18:15;37.7;11.6;23.08
Mon;1;1;2018;18:30;37.14;10.9;23.1
Mon;1;1;2018;18:45;37.82;11.7;23.05
Mon;1;1;2018;19:00;38.89;13.3;23.1
Mon;1;1;2018;19:15;36.519999999999996;10.9;23.11
Mon;1;1;2018;19:30;37.949999999999996;12.1;23.07
Mon;1;1;2018;19:45;36.69;11.2;23.09
Mon;1;1;2018;20:00;37.11;11.3;23.09
Mon;1;1;2018;20:15;39.16;13.6;23.08
Mon;1;1;2018;20:30;36.59;10.8;23.05
Mon;1;1;2018;20:45;36.78;11.2;23.11
Mon;1;1;2018;21:00;37.919999999999995;12.1;23.15
Mon;1;1;2018;21:15;37.94;12.3;23.1
Mon;1;1;2018;21:30;37.96;12.1;23.11
Mon;1;1;2018;21:45;37.76;12.2;23.09
Mon;1;1;2018;22:00;36.7;10.8;23.12
Mon;1;1;2018;22:15;37.43;11.9;23.09
Mon;1;1;2018;22:30;39.64;13.8;23.1
Mon;1;1;2018;22:45;36.04;10.6;23.07
Mon;1;1;2018;23:00;37.86000000000001;12.1;23.05
Mon;1;1;2018;23:15;36.6;11.0;23.05
Mon;1;1;2018;23:30;37.28;11.6;23.01
Mon;1;1;2018;23:45;39.35;13.9;23.03
Tue;2;1;2018;00:00;39.0;11.6;24.61
Tue;2;1;2018;00:15;34.57;10.5;21.56
Tue;2;1;2018;00:30;37.410000000000004;11.9;22.97
Tue;2;1;2018;00:45;36.589999999999996;11.2;22.96
Tue;2;1;2018;01:00;39.839999999999996;14.4;23.0
Tue;2;1;2018;01:15;38.25;12.6;22.91
Tue;2;1;2018;01:30;38.150000000000006;12.6;22.92
Tue;2;1;2018;01:45;38.3;13.0;22.89
Tue;2;1;2018;02:00;39.46;14.0;22.91
Tue;2;1;2018;02:15;38.010000000000005;12.6;22.88
Tue;2;1;2018;02:30;37.85;12.4;22.87
Tue;2;1;2018;02:45;38.33;12.8;22.86
Tue;2;1;2018;03:00;38.47;13.2;22.88
Tue;2;1;2018;03:15;38.29;12.7;22.85
Tue;2;1;2018;03:30;37.72;12.4;22.83
Tue;2;1;2018;03:45;37.629999999999995;12.2;22.82
Tue;2;1;2018;04:00;37.99;12.8;22.83
Tue;2;1;2018;04:15;39.580000000000005;14.0;22.81
Tue;2;1;2018;04:30;37.8;12.5;22.79
Tue;2;1;2018;04:45;37.65;12.1;22.8
