Mes;Custo Mensal;Consumo Horas Ponta;Potencia Horas Ponta
1;8110.66;13346.11;127.11
2;8073.06;13937.22;132.74
3;8941.18;14662.48;137.03
4;9267.68;9576.49;152.01
5;10288.95;11163.66;169.15
6;11481.53;12414.44;188.1
7;12818.96;12658.81;200.93
8;12827.15;13663.17;198.02
9;11449.34;12238.37;185.43
10;0.0;0.0;0.0
11;0.0;0.0;0.0
12;0.0;0.0;0.0
