Mes;Custo Mensal;Consumo Horas Ponta;Potencia Horas Ponta
1;7193.85;11919.9;113.52
2;7043.69;12474.65;118.81
3;7630.87;12828.95;119.9
4;7694.4;8144.87;129.28
5;8863.94;9655.39;146.29
6;9916.84;10814.75;163.86
7;9848.76;10033.09;159.26
8;10106.4;11642.32;168.73
9;9166.67;10186.75;154.34
10;0.0;0.0;0.0
11;0.0;0.0;0.0
12;0.0;0.0;0.0
