Mes;Custo Mensal;Consumo Horas Ponta;Potencia Horas Ponta
1;5560.21;9238.0;87.98
2;5167.42;9153.01;87.17
3;5583.39;9354.84;87.43
4;5642.12;6018.0;95.52
5;5989.57;6532.19;98.97
6;6404.56;7149.0;108.32
7;7597.22;8073.62;128.15
8;6843.02;7556.0;109.51
9;6425.0;7082.0;107.3
10;0.0;0.0;0.0
11;0.0;0.0;0.0
12;0.0;0.0;0.0
