Trimestre;CONSUMO_TOTAL BVTP0;AVAC BVTP0;IT BVTP0
1 trim;619956,43;65191,75;490477,19
2 trim;726937,18;170584,47;519360,79
3 trim;0,0;0,0;0,0
4 trim;0,0;0,0;0,0
