Mes;Custo Mensal;Consumo Horas Ponta;Potencia Horas Ponta
1;7230.07;11460.17;92.42
2;6903.47;10900.73;93.97
3;7488.3;11846.94;95.54
4;7645.85;12172.97;101.44
5;7641.73;12122.75;97.76
6;7088.46;11218.85;93.49
7;7274.69;11524.24;92.94
8;7379.88;11664.8;94.07
9;7205.88;11402.98;95.02
10;0.0;0.0;0.0
11;0.0;0.0;0.0
12;0.0;0.0;0.0
