Mes;Custo Mensal;Consumo Horas Ponta;Potencia Horas Ponta
1;9582.6;15778.9;150.28
2;9144.35;15866.9;151.11
3;9930.02;16444.94;153.69
4;9366.6;9545.3;151.51
5;9649.45;10040.3;152.13
6;9576.6;10240.5;155.16
7;9990.13;10046.8;159.47
8;10336.73;11183.1;162.07
9;9666.02;10319.5;156.36
10;0.0;0.0;0.0
11;0.0;0.0;0.0
12;0.0;0.0;0.0
