Mes;Custo Mensal;Consumo Horas Ponta;Potencia Horas Ponta
1;34222.88;55802.67;531.45
2;32793.24;56903.71;541.94
3;34163.56;56698.28;529.89
4;31708.0;32369.45;513.8
5;32903.92;33291.62;504.42
6;32559.62;34396.94;521.17
7;33724.58;33642.66;534.01
8;33847.78;36550.7;529.72
9;32341.89;34332.2;520.18
10;0.0;0.0;0.0
11;0.0;0.0;0.0
12;0.0;0.0;0.0
