Mes;Custo Mensal;Consumo Horas Ponta;Potencia Horas Ponta
1;12756.26;21146.62;201.4
2;12063.84;21158.91;201.51
3;13182.66;21930.16;204.95
4;12775.47;13179.59;209.2
5;13304.76;13972.0;211.7
6;13286.41;14297.0;216.62
7;13991.48;14143.01;224.49
8;13373.4;14465.06;209.64
9;13264.68;14309.08;216.8
10;0.0;0.0;0.0
11;0.0;0.0;0.0
12;0.0;0.0;0.0
