Timestre;alf1p-1;bvtp0;avr;cmb;far;fmc;fnc;mat;pdg;ptm;snt;ran;Media
1 Trim;1,43;1,29;1,42;1,32;1,5;1,25;2,2;1,37;1,63;2,22;1,33;1,18;1,37
2 Trim;1,44;1,5;1,66;1,51;1,58;1,44;2,17;1,77;1,63;1,95;1,77;1,39;1,56
3 Trim;1,14;1,53;1,66;1,53;1,65;1,5;1,96;1,83;1,7;2,14;1,88;1,47;1,55
4 Trim;1,05;1,36;1,49;1,35;1,56;1,35;1,87;1,5;1,64;1,73;1,47;1,25;1,35
Total;1,26;1,42;1,56;1,43;1,57;1,39;2,05;1,62;1,65;1,99;1,62;1,32;1,46
