Timestre;alf1p0;alf2a7a8;alf2a1;bvtp1;Media
1 Trim;1,58;1,68;2,75;1,67;1,73
2 Trim;1,65;1,74;2,84;1,74;1,79
3 Trim;1,64;1,75;2,92;1,74;1,8
4 Trim;1,6;1,72;2,86;1,7;1,77
Total;1,62;1,72;2,84;1,71;1,77
