Trimestre;CONSUMO_TOTAL ALF1P-1;CONSUMO_TOTAL ALF1P0;CONSUMO_TOTAL ALF2A1;CONSUMO_TOTAL ALF2A7A8;CONSUMO_TOTAL AVR;CONSUMO_TOTAL BVTP0;CONSUMO_TOTAL BVTP1;CONSUMO_TOTAL CMB;CONSUMO_TOTAL FAR;CONSUMO_TOTAL FMC;CONSUMO_TOTAL FNC;CONSUMO_TOTAL MAT;CONSUMO_TOTAL PDG;CONSUMO_TOTAL PTM;CONSUMO_TOTAL RAN;CONSUMO_TOTAL SNT;Media
1 Trim;1,38;1,42;2,26;1,52;1,17;1,13;1,53;1,17;1,39;1,17;1,58;1,28;1,53;1,38;1,05;1,17;1,32
2 Trim;1,4;1,48;2,4;1,56;1,27;1,33;1,56;1,28;1,45;1,33;1,59;1,53;1,55;1,66;1,21;1,49;1,44
3 Trim;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
4 Trim;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Total;1,39;1,45;2,33;1,54;1,22;1,23;1,55;1,22;1,42;1,25;1,58;1,4;1,54;1,52;1,13;1,33;1,38
